method,path,category,rationale,source_file
GET,/products/{product_id}/stock-items/{item_id}/history,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/products.py
GET,/products/{product_id}/variants,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/product_variants.py
POST,/products/{product_id}/variants,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/product_variants.py
DELETE,/products/{product_id}/variants/{variant_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/product_variants.py
GET,/products/{product_id}/variants/{variant_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/product_variants.py
PATCH,/products/{product_id}/variants/{variant_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/product_variants.py
GET,/relances,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/relances.py
POST,/relances/cancel/{relance_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/relances.py
POST,/relances/mark-sent/{relance_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/relances.py
POST,/relances/schedule,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/relances.py
GET,/reservations,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
GET,/reservations/{reservation_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
PATCH,/reservations/{reservation_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
PATCH,/reservations/{reservation_id}/assign,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/cancel,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/close-dispute,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/complete,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/confirm,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/deliver,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
GET,/reservations/{reservation_id}/deposits,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/deposits,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
PATCH,/reservations/{reservation_id}/deposits/{deposit_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/extend,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
GET,/reservations/{reservation_id}/full,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/lines,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
DELETE,/reservations/{reservation_id}/lines/{line_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
GET,/reservations/{reservation_id}/pre-check,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/pre-check,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/pre-check/complete,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
PATCH,/reservations/{reservation_id}/pre-check/{item_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/remind-deposit,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
GET,/reservations/{reservation_id}/risks,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/risks,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
DELETE,/reservations/{reservation_id}/risks/{risk_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
PATCH,/reservations/{reservation_id}/risks/{risk_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
POST,/reservations/{reservation_id}/signature,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/reservations.py
GET,/search,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/search.py
DELETE,/sessions,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/sessions.py
GET,/sessions,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/sessions.py
DELETE,/sessions/{session_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/sessions.py
GET,/stock/adjustments,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
POST,/stock/adjustments,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
GET,/stock/coverage,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
POST,/stock/inventaire,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
GET,/stock/inventaire/{session_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
PATCH,/stock/inventaire/{session_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
POST,/stock/inventaire/{session_id}/complete,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
GET,/stock/levels,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
GET,/stock/reorder,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
POST,/stock/reorder,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/stock_management.py
GET,/supplier-orders,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
POST,/supplier-orders,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
DELETE,/supplier-orders/{order_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
GET,/supplier-orders/{order_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
PATCH,/supplier-orders/{order_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
POST,/supplier-orders/{order_id}/cancel,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
POST,/supplier-orders/{order_id}/confirm,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
POST,/supplier-orders/{order_id}/receive,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/supplier_orders.py
GET,/suppliers,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/suppliers.py
POST,/suppliers,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/suppliers.py
DELETE,/suppliers/{supplier_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/suppliers.py
GET,/suppliers/{supplier_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/suppliers.py
PATCH,/suppliers/{supplier_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/suppliers.py
GET,/users,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
POST,/users,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
POST,/users/invite,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
GET,/users/me,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
PATCH,/users/me,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
DELETE,/users/{user_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
GET,/users/{user_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
PATCH,/users/{user_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
POST,/users/{user_id}/unlock,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/users.py
GET,/ventes,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
POST,/ventes,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
GET,/ventes/overdue,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
GET,/ventes/{vente_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
PATCH,/ventes/{vente_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
POST,/ventes/{vente_id}/cancel,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
GET,/ventes/{vente_id}/payments,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
POST,/ventes/{vente_id}/payments,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
GET,/ventes/{vente_id}/pdf,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
POST,/ventes/{vente_id}/refund,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/ventes.py
GET,/vpn/ip-pools,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
POST,/vpn/ip-pools,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
GET,/vpn/peers,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
POST,/vpn/peers,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
DELETE,/vpn/peers/{peer_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
GET,/vpn/peers/{peer_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
PATCH,/vpn/peers/{peer_id},product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
GET,/vpn/peers/{peer_id}/config,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
POST,/vpn/peers/{peer_id}/disable,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
POST,/vpn/peers/{peer_id}/enable,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
GET,/vpn/peers/{peer_id}/qrcode,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
POST,/vpn/peers/{peer_id}/rotate,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
GET,/vpn/status,product-required,Serves at least one product/admin UX workflow (U1..U12),app/api/v1/endpoints/vpn.py
